name,ean,brand,manufacturer_name,net_quantity,sugar_g,sodium_mg,saturated_fat_g
Pêssego Nacional CAT 3,0070180001,Fruta Brasil,Passo Fundo,25000,15,450,2.5
Suco Natural Integral,0071234567,JuiceMax,São Paulo,1000,12,200,0.1
Leite Integral Delicioso,0072345678,LaticíniosVictor,Minas Gerais,1000,4.8,190,3.2
Carne Vermelha Premium,0073456789,CarnesExcelentes,Santa Catarina,500,0,85,8.5
Arroz Integral Finíssimo,0074567890,GrãosPuros,Rio Grande do Sul,2000,0.5,5,0.8
Óleo de Soja Puro,0075678901,OleosSuperior,Paraná,900,0,0,15.5
Brigadeiro Caseiro Delicioso,0076789012,DocesAvó,Mato Grosso,200,42,150,5.2
Pão Francês Natural,0077890123,Panificadora Central,Brasília,400,3,420,1.8
Molho de Tomate Concentrado,0078901234,ConservasJardim,São Paulo,520,8,650,0.5
Tempero Completo Mágico,0079012345,TemperosMundo,Bahia,100,1,1200,0.2
Frango Congelado Premium,0080123456,CongeladosBrasil,Santa Catarina,800,0.2,280,2.8
Biscoito Água e Sal,0081234567,BiscoitosDelícia,Rio de Janeiro,400,2,450,3.5
Café Coado Especial,0082345678,CafésOuro,Espírito Santo,500,0,3,0
Chocolate ao Leite Tradicional,0083456789,ChocolatesMundo,São Paulo,100,28,120,7.8
Iogurte Natural Desnatado,0084567890,LaticíniosVale,Minas Gerais,500,3.2,145,0.2
